NomPartie : moi
NomPlayer1 : fono
NomPlayer2 : Machine
AgePlayer1 : 14
AgePlayer2 : 20
joueurCourant : 0
Enemies : 1
player1matrice[0][0] : 0
player1print[0][0] : 0
player2matrice[0][0] : 0
player2print[0][0] : -1
player1matrice[0][1] : 0
player1print[0][1] : 0
player2matrice[0][1] : 0
player2print[0][1] : 0
player1matrice[0][2] : 0
player1print[0][2] : -1
player2matrice[0][2] : 0
player2print[0][2] : 0
player1matrice[0][3] : 0
player1print[0][3] : -1
player2matrice[0][3] : 0
player2print[0][3] : 1
player1matrice[0][4] : 0
player1print[0][4] : -1
player2matrice[0][4] : 0
player2print[0][4] : 1
player1matrice[0][5] : 0
player1print[0][5] : -1
player2matrice[0][5] : 0
player2print[0][5] : 1
player1matrice[0][6] : 0
player1print[0][6] : -1
player2matrice[0][6] : 0
player2print[0][6] : -1
player1matrice[0][7] : 0
player1print[0][7] : -1
player2matrice[0][7] : 0
player2print[0][7] : 0
player1matrice[0][8] : 0
player1print[0][8] : -1
player2matrice[0][8] : 0
player2print[0][8] : 1
player1matrice[0][9] : 0
player1print[0][9] : 0
player2matrice[0][9] : 0
player2print[0][9] : -1
player1matrice[1][0] : 0
player1print[1][0] : 0
player2matrice[1][0] : 0
player2print[1][0] : 0
player1matrice[1][1] : 0
player1print[1][1] : 0
player2matrice[1][1] : 0
player2print[1][1] : 0
player1matrice[1][2] : 0
player1print[1][2] : -1
player2matrice[1][2] : 0
player2print[1][2] : -1
player1matrice[1][3] : 0
player1print[1][3] : 1
player2matrice[1][3] : 0
player2print[1][3] : -1
player1matrice[1][4] : 0
player1print[1][4] : 1
player2matrice[1][4] : 0
player2print[1][4] : -1
player1matrice[1][5] : 0
player1print[1][5] : 1
player2matrice[1][5] : 0
player2print[1][5] : 0
player1matrice[1][6] : 0
player1print[1][6] : 1
player2matrice[1][6] : 0
player2print[1][6] : 0
player1matrice[1][7] : 0
player1print[1][7] : 1
player2matrice[1][7] : 0
player2print[1][7] : 0
player1matrice[1][8] : 2
player1print[1][8] : 0
player2matrice[1][8] : 0
player2print[1][8] : -1
player1matrice[1][9] : 0
player1print[1][9] : 0
player2matrice[1][9] : 0
player2print[1][9] : 0
player1matrice[2][0] : 0
player1print[2][0] : 0
player2matrice[2][0] : 0
player2print[2][0] : 0
player1matrice[2][1] : 0
player1print[2][1] : 0
player2matrice[2][1] : 0
player2print[2][1] : -1
player1matrice[2][2] : 0
player1print[2][2] : -1
player2matrice[2][2] : 0
player2print[2][2] : 1
player1matrice[2][3] : 0
player1print[2][3] : 1
player2matrice[2][3] : 0
player2print[2][3] : 1
player1matrice[2][4] : 0
player1print[2][4] : -1
player2matrice[2][4] : 0
player2print[2][4] : 1
player1matrice[2][5] : 0
player1print[2][5] : 1
player2matrice[2][5] : 0
player2print[2][5] : -1
player1matrice[2][6] : 0
player1print[2][6] : -1
player2matrice[2][6] : 5
player2print[2][6] : 0
player1matrice[2][7] : 0
player1print[2][7] : 1
player2matrice[2][7] : 5
player2print[2][7] : 0
player1matrice[2][8] : 2
player1print[2][8] : 0
player2matrice[2][8] : 0
player2print[2][8] : 0
player1matrice[2][9] : 5
player1print[2][9] : 0
player2matrice[2][9] : 0
player2print[2][9] : 0
player1matrice[3][0] : 0
player1print[3][0] : 0
player2matrice[3][0] : 0
player2print[3][0] : 0
player1matrice[3][1] : 0
player1print[3][1] : 0
player2matrice[3][1] : 0
player2print[3][1] : 0
player1matrice[3][2] : 0
player1print[3][2] : 0
player2matrice[3][2] : 4
player2print[3][2] : 0
player1matrice[3][3] : 5
player1print[3][3] : 0
player2matrice[3][3] : 0
player2print[3][3] : 0
player1matrice[3][4] : 0
player1print[3][4] : -1
player2matrice[3][4] : 4
player2print[3][4] : 0
player1matrice[3][5] : 0
player1print[3][5] : 1
player2matrice[3][5] : 0
player2print[3][5] : 0
player1matrice[3][6] : 0
player1print[3][6] : -1
player2matrice[3][6] : 3
player2print[3][6] : 0
player1matrice[3][7] : 4
player1print[3][7] : 0
player2matrice[3][7] : 3
player2print[3][7] : 0
player1matrice[3][8] : 0
player1print[3][8] : 0
player2matrice[3][8] : 3
player2print[3][8] : 0
player1matrice[3][9] : 5
player1print[3][9] : 0
player2matrice[3][9] : 0
player2print[3][9] : 0
player1matrice[4][0] : 0
player1print[4][0] : 0
player2matrice[4][0] : 0
player2print[4][0] : 0
player1matrice[4][1] : 0
player1print[4][1] : 0
player2matrice[4][1] : 0
player2print[4][1] : 0
player1matrice[4][2] : 0
player1print[4][2] : 0
player2matrice[4][2] : 4
player2print[4][2] : 0
player1matrice[4][3] : 5
player1print[4][3] : 0
player2matrice[4][3] : 0
player2print[4][3] : 0
player1matrice[4][4] : 0
player1print[4][4] : -1
player2matrice[4][4] : 4
player2print[4][4] : 0
player1matrice[4][5] : 0
player1print[4][5] : 1
player2matrice[4][5] : 0
player2print[4][5] : -1
player1matrice[4][6] : 0
player1print[4][6] : 0
player2matrice[4][6] : 0
player2print[4][6] : 0
player1matrice[4][7] : 4
player1print[4][7] : 0
player2matrice[4][7] : 0
player2print[4][7] : 0
player1matrice[4][8] : 0
player1print[4][8] : 0
player2matrice[4][8] : 0
player2print[4][8] : 0
player1matrice[4][9] : 5
player1print[4][9] : 0
player2matrice[4][9] : 0
player2print[4][9] : 0
player1matrice[5][0] : 0
player1print[5][0] : 0
player2matrice[5][0] : 0
player2print[5][0] : 0
player1matrice[5][1] : 0
player1print[5][1] : 0
player2matrice[5][1] : 0
player2print[5][1] : 0
player1matrice[5][2] : 0
player1print[5][2] : 0
player2matrice[5][2] : 4
player2print[5][2] : 0
player1matrice[5][3] : 5
player1print[5][3] : 0
player2matrice[5][3] : 0
player2print[5][3] : 0
player1matrice[5][4] : 0
player1print[5][4] : 0
player2matrice[5][4] : 4
player2print[5][4] : 0
player1matrice[5][5] : 0
player1print[5][5] : 1
player2matrice[5][5] : 0
player2print[5][5] : 0
player1matrice[5][6] : 0
player1print[5][6] : 0
player2matrice[5][6] : 0
player2print[5][6] : 0
player1matrice[5][7] : 0
player1print[5][7] : 0
player2matrice[5][7] : 0
player2print[5][7] : 0
player1matrice[5][8] : 0
player1print[5][8] : 0
player2matrice[5][8] : 0
player2print[5][8] : -1
player1matrice[5][9] : 5
player1print[5][9] : 0
player2matrice[5][9] : 0
player2print[5][9] : 0
player1matrice[6][0] : 0
player1print[6][0] : 0
player2matrice[6][0] : 0
player2print[6][0] : 0
player1matrice[6][1] : 0
player1print[6][1] : -1
player2matrice[6][1] : 0
player2print[6][1] : 0
player1matrice[6][2] : 0
player1print[6][2] : -1
player2matrice[6][2] : 2
player2print[6][2] : 0
player1matrice[6][3] : 0
player1print[6][3] : -1
player2matrice[6][3] : 0
player2print[6][3] : 0
player1matrice[6][4] : 0
player1print[6][4] : 0
player2matrice[6][4] : 4
player2print[6][4] : 0
player1matrice[6][5] : 0
player1print[6][5] : -1
player2matrice[6][5] : 0
player2print[6][5] : -1
player1matrice[6][6] : 0
player1print[6][6] : 1
player2matrice[6][6] : 0
player2print[6][6] : 0
player1matrice[6][7] : 0
player1print[6][7] : -1
player2matrice[6][7] : 0
player2print[6][7] : 0
player1matrice[6][8] : 0
player1print[6][8] : 0
player2matrice[6][8] : 0
player2print[6][8] : 0
player1matrice[6][9] : 5
player1print[6][9] : 0
player2matrice[6][9] : 0
player2print[6][9] : 0
player1matrice[7][0] : 0
player1print[7][0] : 0
player2matrice[7][0] : 0
player2print[7][0] : 0
player1matrice[7][1] : 0
player1print[7][1] : 0
player2matrice[7][1] : 0
player2print[7][1] : 0
player1matrice[7][2] : 0
player1print[7][2] : 0
player2matrice[7][2] : 2
player2print[7][2] : 0
player1matrice[7][3] : 0
player1print[7][3] : 0
player2matrice[7][3] : 5
player2print[7][3] : 0
player1matrice[7][4] : 0
player1print[7][4] : 0
player2matrice[7][4] : 0
player2print[7][4] : -1
player1matrice[7][5] : 0
player1print[7][5] : 0
player2matrice[7][5] : 5
player2print[7][5] : 0
player1matrice[7][6] : 3
player1print[7][6] : 0
player2matrice[7][6] : 5
player2print[7][6] : 0
player1matrice[7][7] : 0
player1print[7][7] : 0
player2matrice[7][7] : 5
player2print[7][7] : 0
player1matrice[7][8] : 0
player1print[7][8] : 0
player2matrice[7][8] : 0
player2print[7][8] : 0
player1matrice[7][9] : 0
player1print[7][9] : 0
player2matrice[7][9] : 0
player2print[7][9] : 0
player1matrice[8][0] : 0
player1print[8][0] : 0
player2matrice[8][0] : 0
player2print[8][0] : -1
player1matrice[8][1] : 0
player1print[8][1] : 0
player2matrice[8][1] : 0
player2print[8][1] : 0
player1matrice[8][2] : 0
player1print[8][2] : 0
player2matrice[8][2] : 0
player2print[8][2] : 0
player1matrice[8][3] : 2
player1print[8][3] : 0
player2matrice[8][3] : 0
player2print[8][3] : 0
player1matrice[8][4] : 0
player1print[8][4] : 0
player2matrice[8][4] : 0
player2print[8][4] : -1
player1matrice[8][5] : 0
player1print[8][5] : 0
player2matrice[8][5] : 0
player2print[8][5] : 0
player1matrice[8][6] : 3
player1print[8][6] : 0
player2matrice[8][6] : 0
player2print[8][6] : 0
player1matrice[8][7] : 0
player1print[8][7] : 0
player2matrice[8][7] : 0
player2print[8][7] : -1
player1matrice[8][8] : 0
player1print[8][8] : 0
player2matrice[8][8] : 0
player2print[8][8] : 0
player1matrice[8][9] : 0
player1print[8][9] : 0
player2matrice[8][9] : 0
player2print[8][9] : 0
player1matrice[9][0] : 0
player1print[9][0] : 0
player2matrice[9][0] : 0
player2print[9][0] : -1
player1matrice[9][1] : 0
player1print[9][1] : 0
player2matrice[9][1] : 0
player2print[9][1] : 0
player1matrice[9][2] : 0
player1print[9][2] : 0
player2matrice[9][2] : 0
player2print[9][2] : 0
player1matrice[9][3] : 2
player1print[9][3] : 0
player2matrice[9][3] : 0
player2print[9][3] : 0
player1matrice[9][4] : 0
player1print[9][4] : -1
player2matrice[9][4] : 0
player2print[9][4] : 0
player1matrice[9][5] : 0
player1print[9][5] : 0
player2matrice[9][5] : 0
player2print[9][5] : 0
player1matrice[9][6] : 0
player1print[9][6] : -1
player2matrice[9][6] : 0
player2print[9][6] : 0
player1matrice[9][7] : 0
player1print[9][7] : 0
player2matrice[9][7] : 0
player2print[9][7] : -1
player1matrice[9][8] : 0
player1print[9][8] : 0
player2matrice[9][8] : 0
player2print[9][8] : 0
player1matrice[9][9] : 0
player1print[9][9] : 0
player2matrice[9][9] : 0
player2print[9][9] : 0
